tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N948DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N952DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N105UW,1999,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N901DA,1995,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N943DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N923UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N921UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N14704,1998,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N920UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N940UW,1995,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3BSAA,NULL,AA,,,,
N767NC,1977,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N933UW,1993,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N594AA,1992,AA,DC-9-83(MD-83),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N305SW,1985,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N925UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N917UW,1982,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N975DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N438AA,1987,AA,DC-9-83(MD-83),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N4XUAA,NULL,AA,,,,
N5BUAA,NULL,AA,,,,
N5FNAA,NULL,AA,,,,
N958DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N935UW,1994,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N976DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N991DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N422US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N420US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N714US,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N994DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS CORPORATION
N916DL,1988,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N995DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N444US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N808NW,2004,NW,A330-323,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N802NW,2003,NW,A330-323,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N704US,1998,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N928DL,1988,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N941DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N432AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N986DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N953DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N470AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N511AA,NULL,AA,,,,
N523AA,1968,AA,60,Fixed Wing Multi-Engine,Reciprocating,BEECH
N701UW,1998,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N757UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N749US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N14609,1994,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N997DL,1992,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N568AA,1987,AA,DC-9-83(MD-83),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N767UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N917DE,1993,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N9338,1969,NW,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,DOUGLAS
N759GS,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N552AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N924UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N249AU,1987,US,767-201,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N571AA,1987,AA,DC-9-83(MD-83),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N715UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N766US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N428WN,2002,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N454AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N15712,1998,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N922UW,1983,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N478UA,2001,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N918DL,1988,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N969DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N275WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N732US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N4YLAA,NULL,AA,,,,
N259AA,1985,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N907WN,NULL,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N929UW,1993,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N685SW,1986,WN,737-3Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N338SW,1988,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5BRAA,NULL,AA,,,,
N902WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N814UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N370SW,1993,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N122US,2000,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N277WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N458UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N433US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N616AA,1989,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N651DL,1989,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N591US,1988,US,737-301,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N527AU,1988,US,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N741UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N447AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N475AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N643DL,1989,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N427US,1989,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N405US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N3BWAA,NULL,AA,,,,
N3DBAA,NULL,AA,,,,
N712US,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N633AA,1990,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5CWAA,NULL,AA,,,,
N799UA,1998,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N655UA,1992,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N300SW,1984,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N663UA,1993,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N143DA,1998,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N984DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N442AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N628DL,1987,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N939UW,1994,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N219UA,2001,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N730US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N424US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N455UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N454UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N904DA,1995,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N914DN,1996,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N902DA,1994,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N789SW,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N762NC,1976,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N3767,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N301DQ,NULL,DL,NULL,NULL,NULL,NULL
N6713Y,2000,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N534AA,NULL,AA,,,,
N184US,2002,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N284WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N796UA,1998,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N783UA,1997,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N953UW,2007,US,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N253WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N165US,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N653UA,1992,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N750UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N762US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N959DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N121UW,2000,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N124US,2000,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N778UA,1996,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N747UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N283JB,2007,B6,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N777UA,1995,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N440US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N725UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N723UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N3BKAA,NULL,AA,,,,
N404US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N409US,1988,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N228UA,2002,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N333NB,2001,NW,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N456UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N504AU,1987,US,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N746UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N965UW,NULL,US,NULL,NULL,NULL,NULL
N955UW,2008,US,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N960UW,NULL,US,NULL,NULL,NULL,NULL
N962UW,NULL,US,NULL,NULL,NULL,NULL
N956UW,2008,US,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N191UW,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N162UW,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N071AA,NULL,AA,,,,
N066AA,NULL,AA,,,,
N079AA,NULL,AA,,,,
N406WN,2001,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N195UW,NULL,US,NULL,NULL,NULL,NULL
N123UW,2000,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N186US,2002,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS
N194UW,NULL,US,NULL,NULL,NULL,NULL
N958UW,NULL,US,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N140LL,1993,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N755US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N302DQ,NULL,DL,NULL,NULL,NULL,NULL
N772UA,1995,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N776UA,1996,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N768UA,1995,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N795UA,1997,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N773UA,1995,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N110UW,1999,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N651UA,1992,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N782UA,1997,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N697DL,1999,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N5DLAA,NULL,AA,,,,
N5FTAA,NULL,AA,,,,
N769US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N438US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N470UA,2001,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N435US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N459UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N073AA,NULL,AA,,,,
N059AA,NULL,AA,,,,
N959UW,NULL,US,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N442US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N443US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N426US,1989,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N117UW,2000,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N243WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N084AA,NULL,AA,,,,
N051AA,NULL,AA,,,,
N927WN,NULL,WN,NULL,NULL,NULL,NULL
N5EBAA,NULL,AA,,,,
N623AA,1990,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N911DL,1987,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N902DE,1992,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS CORPORATION
N711UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N724UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N713UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N505AU,1987,US,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3BAAA,NULL,AA,,,,
N3BGAA,NULL,AA,,,,
N445US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N919DE,1993,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N935DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N963UW,NULL,US,NULL,NULL,NULL,NULL
N326SW,1987,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N37342,1999,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N27318,1999,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N77302,1999,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N87353,1999,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N77278,1998,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N782SA,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N14335,1986,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N610DL,1985,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N58606,1994,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3AVAA,NULL,AA,,,,
N3CKAA,NULL,AA,,,,
N682DA,1993,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N242AA,1984,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N169UW,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N317NB,2000,NW,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N705UW,NULL,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N740UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N274AY,2000,US,A330-323,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N277AY,2001,US,A330-323,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N406US,1988,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N738US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N610AA,1989,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N531AA,NULL,AA,,,,
N3736C,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N3731T,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N215WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N547AA,1985,AA,FALCON XP,Fixed Wing Single-Engine,Reciprocating,STINNETT RON
N5BVAA,NULL,AA,,,,
N974DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N980DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N763US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N748UW,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N636AA,NULL,AA,,,,
N702UW,1998,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N5DWAA,NULL,AA,,,,
N5DBAA,NULL,AA,,,,
N752US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N238JB,NULL,B6,ERJ 190-100 IGW,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N451UW,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N3ACAA,NULL,AA,,,,
N727SW,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N102UW,1998,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N392DA,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N452AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N374DA,1998,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N390DA,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N175DN,1990,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N916UW,1982,US,757-225,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N491AA,1989,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N548AA,NULL,AA,,,,
N423US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N430AA,1986,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N393DA,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N476AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N180US,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N457UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N906DA,1995,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N916DN,1996,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N745VJ,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N304DQ,NULL,DL,NULL,NULL,NULL,NULL
N907DA,1995,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N915DN,1996,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N3759,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N721UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N16648,1997,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N419US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N399DA,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N5DTAA,NULL,AA,,,,
N956DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N3CUAA,NULL,AA,,,,
N3CLAA,NULL,AA,,,,
N452UW,1991,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N913DN,1996,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N465WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N189UW,2001,US,A321-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N4WLAA,NULL,AA,,,,
N46625,1995,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N413UA,1994,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N375DA,1998,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N911DA,1995,DL,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N384DA,1999,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N937DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N388DA,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N533AU,1989,US,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N531AU,1989,US,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N727TW,NULL,DL,NULL,NULL,NULL,NULL
N717UW,1999,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N636WN,1996,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N466AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N426AA,1986,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N414AA,NULL,AA,,,,
N298AA,1985,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N3734B,2000,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
