tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N635AA,1990,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N617AA,NULL,AA,,,,
N14639,1997,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N327SW,1987,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N509UA,1990,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N604AW,2000,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N14731,1999,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N23707,1998,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N938FR,2005,F9,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N578UA,1993,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N16617,NULL,CO,,,,
N517US,1986,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N345NW,1993,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N329SW,1988,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N697SW,1988,WN,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N503SW,1990,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N527SW,1992,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N821UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N801UA,1997,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N3BHAA,NULL,AA,,,,
N3CWAA,NULL,AA,,,,
N557NW,2002,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N781WN,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N311SW,1986,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N574UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N630AA,1990,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5ENAA,NULL,AA,,,,
N660SW,1985,WN,737-301,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N936FR,2005,F9,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N893AT,2004,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N910WN,2008,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N14250,1999,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N410WN,2001,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N205WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5ETAA,NULL,AA,,,,
N5CUAA,NULL,AA,,,,
N5DAAA,NULL,AA,,,,
N344NW,1993,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N565UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N367AA,NULL,AA,,,,
N17627,1995,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N17640,1997,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N12322,1986,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N524SW,1992,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N5EHAA,NULL,AA,,,,
N426WN,2002,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N846UA,2001,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N334NW,1992,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N218WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N809UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N358AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N624AA,1990,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N37281,2003,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N626SW,1996,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N305AW,1988,US,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N14106,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N58101,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N751SW,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N467WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N840UA,2001,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N61304,1985,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N78501,2006,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N337NB,2002,NW,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N367SW,1993,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N647SW,1997,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N741SA,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N941FR,2005,F9,A319-112,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N921FR,2003,F9,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N522US,1987,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N527US,1987,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N718SW,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N549AA,NULL,AA,,,,
N492AA,1989,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N440AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N76517,NULL,CO,NULL,NULL,NULL,NULL
N54711,1998,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N764NC,1976,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N770NC,1978,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N754SW,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N942UA,1992,UA,737-522,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N8978E,1968,NW,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,DOUGLAS
N706SW,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N799SW,NULL,WN,737-7Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N498UA,2002,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N751NW,1968,NW,DC-9-41,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N8933E,1967,NW,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,DOUGLAS
N776NC,1979,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N769NC,1978,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N811UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N224WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N331UA,1988,UA,737-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N319US,1991,NW,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N671SW,1988,WN,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N815UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N822UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N200WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N819UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N17719,1999,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N782NC,1980,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N551WN,2001,WN,737-76Q,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N36207,2000,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N783NC,1979,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N75851,2001,CO,757-324,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N981AT,2002,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N364NW,1999,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N807UA,1998,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N369AA,1992,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N397AA,NULL,AA,,,,
N57863,2001,CO,757-33N,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
